Nr.;Jahr;Gemeindeteilschlüssel;Gemeindeteilebene;Gemeindeteilname;Alter;Bevölkerung am Ort der Hauptwohnung
3;2017;0000;Stadt;Mannheim;2;2823
4;2017;0000;Stadt;Mannheim;3;2844
5;2017;0000;Stadt;Mannheim;4;2650
16;2017;0000;Stadt;Mannheim;15;2553
22;2017;0000;Stadt;Mannheim;21;4729
23;2017;0000;Stadt;Mannheim;22;4824
26;2017;0000;Stadt;Mannheim;25;5204
35;2017;0000;Stadt;Mannheim;34;4791
37;2017;0000;Stadt;Mannheim;36;4856
39;2017;0000;Stadt;Mannheim;38;4386
40;2017;0000;Stadt;Mannheim;39;4173
42;2017;0000;Stadt;Mannheim;41;4068
52;2017;0000;Stadt;Mannheim;51;4920
56;2017;0000;Stadt;Mannheim;55;4603
58;2017;0000;Stadt;Mannheim;57;4311
59;2017;0000;Stadt;Mannheim;58;4012
65;2017;0000;Stadt;Mannheim;64;3202
66;2017;0000;Stadt;Mannheim;65;3178
75;2017;0000;Stadt;Mannheim;74;2515
78;2017;0000;Stadt;Mannheim;77;2928
81;2017;0000;Stadt;Mannheim;80;2279
82;2017;0000;Stadt;Mannheim;81;2225
85;2017;0000;Stadt;Mannheim;84;1337
86;2017;0000;Stadt;Mannheim;85-89;5290
87;2017;0000;Stadt;Mannheim;90+;2863
89;2017;0010;Stadtteil;Innenstadt/Jungbusch;1;224
91;2017;0010;Stadtteil;Innenstadt/Jungbusch;3;199
93;2017;0010;Stadtteil;Innenstadt/Jungbusch;5;184
95;2017;0010;Stadtteil;Innenstadt/Jungbusch;7;158
96;2017;0010;Stadtteil;Innenstadt/Jungbusch;8;190
99;2017;0010;Stadtteil;Innenstadt/Jungbusch;11;161
100;2017;0010;Stadtteil;Innenstadt/Jungbusch;12;165
103;2017;0010;Stadtteil;Innenstadt/Jungbusch;15;171
104;2017;0010;Stadtteil;Innenstadt/Jungbusch;16;162
107;2017;0010;Stadtteil;Innenstadt/Jungbusch;19;576
115;2017;0010;Stadtteil;Innenstadt/Jungbusch;27;847
119;2017;0010;Stadtteil;Innenstadt/Jungbusch;31;669
124;2017;0010;Stadtteil;Innenstadt/Jungbusch;36;519
130;2017;0010;Stadtteil;Innenstadt/Jungbusch;42;400
132;2017;0010;Stadtteil;Innenstadt/Jungbusch;44;401
135;2017;0010;Stadtteil;Innenstadt/Jungbusch;47;369
137;2017;0010;Stadtteil;Innenstadt/Jungbusch;49;376
138;2017;0010;Stadtteil;Innenstadt/Jungbusch;50;377
140;2017;0010;Stadtteil;Innenstadt/Jungbusch;52;379
141;2017;0010;Stadtteil;Innenstadt/Jungbusch;53;347
142;2017;0010;Stadtteil;Innenstadt/Jungbusch;54;366
145;2017;0010;Stadtteil;Innenstadt/Jungbusch;57;344
146;2017;0010;Stadtteil;Innenstadt/Jungbusch;58;287
151;2017;0010;Stadtteil;Innenstadt/Jungbusch;63;243
154;2017;0010;Stadtteil;Innenstadt/Jungbusch;66;191
159;2017;0010;Stadtteil;Innenstadt/Jungbusch;71;167
170;2017;0010;Stadtteil;Innenstadt/Jungbusch;82;116
174;2017;0010;Stadtteil;Innenstadt/Jungbusch;90+;135
179;2017;0020;Stadtteil;Neckarstadt-West;4;188
180;2017;0020;Stadtteil;Neckarstadt-West;5;163
181;2017;0020;Stadtteil;Neckarstadt-West;6;178
182;2017;0020;Stadtteil;Neckarstadt-West;7;186
184;2017;0020;Stadtteil;Neckarstadt-West;9;207
185;2017;0020;Stadtteil;Neckarstadt-West;10;176
188;2017;0020;Stadtteil;Neckarstadt-West;13;188
189;2017;0020;Stadtteil;Neckarstadt-West;14;164
193;2017;0020;Stadtteil;Neckarstadt-West;18;221
195;2017;0020;Stadtteil;Neckarstadt-West;20;378
198;2017;0020;Stadtteil;Neckarstadt-West;23;438
202;2017;0020;Stadtteil;Neckarstadt-West;27;478
216;2017;0020;Stadtteil;Neckarstadt-West;41;310
217;2017;0020;Stadtteil;Neckarstadt-West;42;316
218;2017;0020;Stadtteil;Neckarstadt-West;43;317
221;2017;0020;Stadtteil;Neckarstadt-West;46;296
222;2017;0020;Stadtteil;Neckarstadt-West;47;298
229;2017;0020;Stadtteil;Neckarstadt-West;54;266
230;2017;0020;Stadtteil;Neckarstadt-West;55;273
231;2017;0020;Stadtteil;Neckarstadt-West;56;220
232;2017;0020;Stadtteil;Neckarstadt-West;57;229
244;2017;0020;Stadtteil;Neckarstadt-West;69;140
250;2017;0020;Stadtteil;Neckarstadt-West;75;110
255;2017;0020;Stadtteil;Neckarstadt-West;80;75
257;2017;0020;Stadtteil;Neckarstadt-West;82;67
258;2017;0020;Stadtteil;Neckarstadt-West;83;51
260;2017;0020;Stadtteil;Neckarstadt-West;85-89;146
261;2017;0020;Stadtteil;Neckarstadt-West;90+;53
263;2017;0030;Stadtteil;Neckarstadt-Ost;1;352
264;2017;0030;Stadtteil;Neckarstadt-Ost;2;306
267;2017;0030;Stadtteil;Neckarstadt-Ost;5;289
270;2017;0030;Stadtteil;Neckarstadt-Ost;8;244
271;2017;0030;Stadtteil;Neckarstadt-Ost;9;274
272;2017;0030;Stadtteil;Neckarstadt-Ost;10;246
275;2017;0030;Stadtteil;Neckarstadt-Ost;13;259
277;2017;0030;Stadtteil;Neckarstadt-Ost;15;243
279;2017;0030;Stadtteil;Neckarstadt-Ost;17;254
282;2017;0030;Stadtteil;Neckarstadt-Ost;20;504
297;2017;0030;Stadtteil;Neckarstadt-Ost;35;538
302;2017;0030;Stadtteil;Neckarstadt-Ost;40;408
304;2017;0030;Stadtteil;Neckarstadt-Ost;42;403
308;2017;0030;Stadtteil;Neckarstadt-Ost;46;461
309;2017;0030;Stadtteil;Neckarstadt-Ost;47;435
312;2017;0030;Stadtteil;Neckarstadt-Ost;50;448
313;2017;0030;Stadtteil;Neckarstadt-Ost;51;510
326;2017;0030;Stadtteil;Neckarstadt-Ost;64;324
335;2017;0030;Stadtteil;Neckarstadt-Ost;73;235
2001;2017;0162;Stadtteil;Niederfeld;90+;147
2002;2017;0163;Stadtteil;Almenhof;0;71
2003;2017;0163;Stadtteil;Almenhof;1;58
2006;2017;0163;Stadtteil;Almenhof;4;43
2007;2017;0163;Stadtteil;Almenhof;5;39
2010;2017;0163;Stadtteil;Almenhof;8;59
2013;2017;0163;Stadtteil;Almenhof;11;51
2015;2017;0163;Stadtteil;Almenhof;13;47
2016;2017;0163;Stadtteil;Almenhof;14;55
2026;2017;0163;Stadtteil;Almenhof;24;140
2027;2017;0163;Stadtteil;Almenhof;25;102
2029;2017;0163;Stadtteil;Almenhof;27;109
2031;2017;0163;Stadtteil;Almenhof;29;128
2045;2017;0163;Stadtteil;Almenhof;43;74
2051;2017;0163;Stadtteil;Almenhof;49;111
2052;2017;0163;Stadtteil;Almenhof;50;108
2054;2017;0163;Stadtteil;Almenhof;52;123
2056;2017;0163;Stadtteil;Almenhof;54;108
2060;2017;0163;Stadtteil;Almenhof;58;95
2063;2017;0163;Stadtteil;Almenhof;61;82
2065;2017;0163;Stadtteil;Almenhof;63;70
2071;2017;0163;Stadtteil;Almenhof;69;49
2076;2017;0163;Stadtteil;Almenhof;74;64
2078;2017;0163;Stadtteil;Almenhof;76;65
2086;2017;0163;Stadtteil;Almenhof;84;32
2090;2017;0170;Stadtteil;Rheinau;1;223
2091;2017;0170;Stadtteil;Rheinau;2;222
2094;2017;0170;Stadtteil;Rheinau;5;195
2101;2017;0170;Stadtteil;Rheinau;12;212
2103;2017;0170;Stadtteil;Rheinau;14;192
2111;2017;0170;Stadtteil;Rheinau;22;277
2112;2017;0170;Stadtteil;Rheinau;23;277
2113;2017;0170;Stadtteil;Rheinau;24;336
2117;2017;0170;Stadtteil;Rheinau;28;332
2118;2017;0170;Stadtteil;Rheinau;29;344
2121;2017;0170;Stadtteil;Rheinau;32;359
2127;2017;0170;Stadtteil;Rheinau;38;316
2131;2017;0170;Stadtteil;Rheinau;42;323
2132;2017;0170;Stadtteil;Rheinau;43;324
2134;2017;0170;Stadtteil;Rheinau;45;316
2135;2017;0170;Stadtteil;Rheinau;46;341
2136;2017;0170;Stadtteil;Rheinau;47;317
2138;2017;0170;Stadtteil;Rheinau;49;362
2139;2017;0170;Stadtteil;Rheinau;50;390
2140;2017;0170;Stadtteil;Rheinau;51;409
2142;2017;0170;Stadtteil;Rheinau;53;429
2143;2017;0170;Stadtteil;Rheinau;54;416
2158;2017;0170;Stadtteil;Rheinau;69;283
2166;2017;0170;Stadtteil;Rheinau;77;242
2167;2017;0170;Stadtteil;Rheinau;78;234
2168;2017;0170;Stadtteil;Rheinau;79;226
2171;2017;0170;Stadtteil;Rheinau;82;173
2172;2017;0170;Stadtteil;Rheinau;83;147
2180;2016;0000;Stadt;Mannheim;4;2550
2183;2016;0000;Stadt;Mannheim;7;2535
2184;2016;0000;Stadt;Mannheim;8;2557
2186;2016;0000;Stadt;Mannheim;10;2442
2191;2016;0000;Stadt;Mannheim;15;2533
2192;2016;0000;Stadt;Mannheim;16;2719
2195;2016;0000;Stadt;Mannheim;19;3839
2199;2016;0000;Stadt;Mannheim;23;4810
2202;2016;0000;Stadt;Mannheim;26;5512
2203;2016;0000;Stadt;Mannheim;27;5316
2205;2016;0000;Stadt;Mannheim;29;5370
2209;2016;0000;Stadt;Mannheim;33;4806
2210;2016;0000;Stadt;Mannheim;34;4870
2211;2016;0000;Stadt;Mannheim;35;4892
2214;2016;0000;Stadt;Mannheim;38;4198
2217;2016;0000;Stadt;Mannheim;41;3924
2221;2016;0000;Stadt;Mannheim;45;4408
2223;2016;0000;Stadt;Mannheim;47;4702
2225;2016;0000;Stadt;Mannheim;49;4867
2226;2016;0000;Stadt;Mannheim;50;4937
2227;2016;0000;Stadt;Mannheim;51;4926
2229;2016;0000;Stadt;Mannheim;53;4836
2230;2016;0000;Stadt;Mannheim;54;4635
2232;2016;0000;Stadt;Mannheim;56;4343
2235;2016;0000;Stadt;Mannheim;59;3889
2238;2016;0000;Stadt;Mannheim;62;3400
2239;2016;0000;Stadt;Mannheim;63;3267
2240;2016;0000;Stadt;Mannheim;64;3239
2242;2016;0000;Stadt;Mannheim;66;3144
2243;2016;0000;Stadt;Mannheim;67;3126
2246;2016;0000;Stadt;Mannheim;70;2678
2249;2016;0000;Stadt;Mannheim;73;2579
2251;2016;0000;Stadt;Mannheim;75;3015
2253;2016;0000;Stadt;Mannheim;77;2796
2256;2016;0000;Stadt;Mannheim;80;2344
2264;2016;0010;Stadtteil;Innenstadt/Jungbusch;1;238
2267;2016;0010;Stadtteil;Innenstadt/Jungbusch;4;196
2270;2016;0010;Stadtteil;Innenstadt/Jungbusch;7;192
2273;2016;0010;Stadtteil;Innenstadt/Jungbusch;10;163
2279;2016;0010;Stadtteil;Innenstadt/Jungbusch;16;205
2286;2016;0010;Stadtteil;Innenstadt/Jungbusch;23;866
2287;2016;0010;Stadtteil;Innenstadt/Jungbusch;24;881
2289;2016;0010;Stadtteil;Innenstadt/Jungbusch;26;903
2293;2016;0010;Stadtteil;Innenstadt/Jungbusch;30;706
2294;2016;0010;Stadtteil;Innenstadt/Jungbusch;31;617
2295;2016;0010;Stadtteil;Innenstadt/Jungbusch;32;588
2301;2016;0010;Stadtteil;Innenstadt/Jungbusch;38;423
506;2017;0042;Stadtteil;Schwetzingerstadt;70;62
508;2017;0042;Stadtteil;Schwetzingerstadt;72;51
513;2017;0042;Stadtteil;Schwetzingerstadt;77;61
517;2017;0042;Stadtteil;Schwetzingerstadt;81;52
518;2017;0042;Stadtteil;Schwetzingerstadt;82;40
519;2017;0042;Stadtteil;Schwetzingerstadt;83;36
525;2017;0050;Stadtteil;Lindenhof;2;143
532;2017;0050;Stadtteil;Lindenhof;9;78
542;2017;0050;Stadtteil;Lindenhof;19;92
543;2017;0050;Stadtteil;Lindenhof;20;103
546;2017;0050;Stadtteil;Lindenhof;23;178
549;2017;0050;Stadtteil;Lindenhof;26;243
550;2017;0050;Stadtteil;Lindenhof;27;310
551;2017;0050;Stadtteil;Lindenhof;28;328
558;2017;0050;Stadtteil;Lindenhof;35;267
563;2017;0050;Stadtteil;Lindenhof;40;176
564;2017;0050;Stadtteil;Lindenhof;41;175
565;2017;0050;Stadtteil;Lindenhof;42;163
568;2017;0050;Stadtteil;Lindenhof;45;157
569;2017;0050;Stadtteil;Lindenhof;46;174
574;2017;0050;Stadtteil;Lindenhof;51;214
576;2017;0050;Stadtteil;Lindenhof;53;181
579;2017;0050;Stadtteil;Lindenhof;56;167
584;2017;0050;Stadtteil;Lindenhof;61;137
585;2017;0050;Stadtteil;Lindenhof;62;104
587;2017;0050;Stadtteil;Lindenhof;64;127
589;2017;0050;Stadtteil;Lindenhof;66;104
596;2017;0050;Stadtteil;Lindenhof;73;104
601;2017;0050;Stadtteil;Lindenhof;78;141
607;2017;0050;Stadtteil;Lindenhof;84;74
608;2017;0050;Stadtteil;Lindenhof;85-89;321
612;2017;0060;Stadtteil;Sandhofen;2;124
613;2017;0060;Stadtteil;Sandhofen;3;119
618;2017;0060;Stadtteil;Sandhofen;8;125
625;2017;0060;Stadtteil;Sandhofen;15;105
626;2017;0060;Stadtteil;Sandhofen;16;114
627;2017;0060;Stadtteil;Sandhofen;17;129
628;2017;0060;Stadtteil;Sandhofen;18;131
629;2017;0060;Stadtteil;Sandhofen;19;135
632;2017;0060;Stadtteil;Sandhofen;22;142
633;2017;0060;Stadtteil;Sandhofen;23;137
634;2017;0060;Stadtteil;Sandhofen;24;168
637;2017;0060;Stadtteil;Sandhofen;27;181
639;2017;0060;Stadtteil;Sandhofen;29;189
643;2017;0060;Stadtteil;Sandhofen;33;186
649;2017;0060;Stadtteil;Sandhofen;39;164
652;2017;0060;Stadtteil;Sandhofen;42;148
653;2017;0060;Stadtteil;Sandhofen;43;183
654;2017;0060;Stadtteil;Sandhofen;44;175
658;2017;0060;Stadtteil;Sandhofen;48;226
661;2017;0060;Stadtteil;Sandhofen;51;227
665;2017;0060;Stadtteil;Sandhofen;55;225
666;2017;0060;Stadtteil;Sandhofen;56;241
667;2017;0060;Stadtteil;Sandhofen;57;208
668;2017;0060;Stadtteil;Sandhofen;58;218
670;2017;0060;Stadtteil;Sandhofen;60;209
671;2017;0060;Stadtteil;Sandhofen;61;175
674;2017;0060;Stadtteil;Sandhofen;64;141
676;2017;0060;Stadtteil;Sandhofen;66;154
677;2017;0060;Stadtteil;Sandhofen;67;169
678;2017;0060;Stadtteil;Sandhofen;68;152
681;2017;0060;Stadtteil;Sandhofen;71;130
682;2017;0060;Stadtteil;Sandhofen;72;105
683;2017;0060;Stadtteil;Sandhofen;73;127
685;2017;0060;Stadtteil;Sandhofen;75;102
688;2017;0060;Stadtteil;Sandhofen;78;121
689;2017;0060;Stadtteil;Sandhofen;79;132
691;2017;0060;Stadtteil;Sandhofen;81;122
695;2017;0060;Stadtteil;Sandhofen;85-89;263
696;2017;0060;Stadtteil;Sandhofen;90+;134
699;2017;0070;Stadtteil;Schönau;2;113
700;2017;0070;Stadtteil;Schönau;3;131
702;2017;0070;Stadtteil;Schönau;5;114
704;2017;0070;Stadtteil;Schönau;7;129
709;2017;0070;Stadtteil;Schönau;12;129
711;2017;0070;Stadtteil;Schönau;14;145
712;2017;0070;Stadtteil;Schönau;15;143
717;2017;0070;Stadtteil;Schönau;20;146
725;2017;0070;Stadtteil;Schönau;28;150
727;2017;0070;Stadtteil;Schönau;30;167
731;2017;0070;Stadtteil;Schönau;34;159
732;2017;0070;Stadtteil;Schönau;35;149
735;2017;0070;Stadtteil;Schönau;38;132
738;2017;0070;Stadtteil;Schönau;41;177
743;2017;0070;Stadtteil;Schönau;46;190
747;2017;0070;Stadtteil;Schönau;50;207
748;2017;0070;Stadtteil;Schönau;51;196
749;2017;0070;Stadtteil;Schönau;52;219
752;2017;0070;Stadtteil;Schönau;55;211
753;2017;0070;Stadtteil;Schönau;56;208
754;2017;0070;Stadtteil;Schönau;57;197
755;2017;0070;Stadtteil;Schönau;58;178
763;2017;0070;Stadtteil;Schönau;66;147
765;2017;0070;Stadtteil;Schönau;68;145
766;2017;0070;Stadtteil;Schönau;69;127
767;2017;0070;Stadtteil;Schönau;70;130
769;2017;0070;Stadtteil;Schönau;72;76
771;2017;0070;Stadtteil;Schönau;74;90
775;2017;0070;Stadtteil;Schönau;78;92
776;2017;0070;Stadtteil;Schönau;79;97
346;2017;0030;Stadtteil;Neckarstadt-Ost;84;131
348;2017;0030;Stadtteil;Neckarstadt-Ost;90+;287
353;2017;0041;Stadtteil;Oststadt;4;92
356;2017;0041;Stadtteil;Oststadt;7;69
358;2017;0041;Stadtteil;Oststadt;9;68
367;2017;0041;Stadtteil;Oststadt;18;63
369;2017;0041;Stadtteil;Oststadt;20;136
374;2017;0041;Stadtteil;Oststadt;25;185
376;2017;0041;Stadtteil;Oststadt;27;248
383;2017;0041;Stadtteil;Oststadt;34;212
384;2017;0041;Stadtteil;Oststadt;35;244
387;2017;0041;Stadtteil;Oststadt;38;212
388;2017;0041;Stadtteil;Oststadt;39;181
391;2017;0041;Stadtteil;Oststadt;42;154
394;2017;0041;Stadtteil;Oststadt;45;167
397;2017;0041;Stadtteil;Oststadt;48;209
398;2017;0041;Stadtteil;Oststadt;49;181
401;2017;0041;Stadtteil;Oststadt;52;179
408;2017;0041;Stadtteil;Oststadt;59;140
410;2017;0041;Stadtteil;Oststadt;61;116
415;2017;0041;Stadtteil;Oststadt;66;143
417;2017;0041;Stadtteil;Oststadt;68;121
427;2017;0041;Stadtteil;Oststadt;78;120
431;2017;0041;Stadtteil;Oststadt;82;82
433;2017;0041;Stadtteil;Oststadt;84;42
435;2017;0041;Stadtteil;Oststadt;90+;152
438;2017;0042;Stadtteil;Schwetzingerstadt;2;75
440;2017;0042;Stadtteil;Schwetzingerstadt;4;63
445;2017;0042;Stadtteil;Schwetzingerstadt;9;51
449;2017;0042;Stadtteil;Schwetzingerstadt;13;49
452;2017;0042;Stadtteil;Schwetzingerstadt;16;40
453;2017;0042;Stadtteil;Schwetzingerstadt;17;45
459;2017;0042;Stadtteil;Schwetzingerstadt;23;255
461;2017;0042;Stadtteil;Schwetzingerstadt;25;326
463;2017;0042;Stadtteil;Schwetzingerstadt;27;343
464;2017;0042;Stadtteil;Schwetzingerstadt;28;328
466;2017;0042;Stadtteil;Schwetzingerstadt;30;310
469;2017;0042;Stadtteil;Schwetzingerstadt;33;236
470;2017;0042;Stadtteil;Schwetzingerstadt;34;218
471;2017;0042;Stadtteil;Schwetzingerstadt;35;185
473;2017;0042;Stadtteil;Schwetzingerstadt;37;192
475;2017;0042;Stadtteil;Schwetzingerstadt;39;166
476;2017;0042;Stadtteil;Schwetzingerstadt;40;144
479;2017;0042;Stadtteil;Schwetzingerstadt;43;116
480;2017;0042;Stadtteil;Schwetzingerstadt;44;117
483;2017;0042;Stadtteil;Schwetzingerstadt;47;146
486;2017;0042;Stadtteil;Schwetzingerstadt;50;143
488;2017;0042;Stadtteil;Schwetzingerstadt;52;155
492;2017;0042;Stadtteil;Schwetzingerstadt;56;125
493;2017;0042;Stadtteil;Schwetzingerstadt;57;113
496;2017;0042;Stadtteil;Schwetzingerstadt;60;87
497;2017;0042;Stadtteil;Schwetzingerstadt;61;93
499;2017;0042;Stadtteil;Schwetzingerstadt;63;84
510;2017;0042;Stadtteil;Schwetzingerstadt;74;46
515;2017;0042;Stadtteil;Schwetzingerstadt;79;50
516;2017;0042;Stadtteil;Schwetzingerstadt;80;50
527;2017;0050;Stadtteil;Lindenhof;4;90
528;2017;0050;Stadtteil;Lindenhof;5;81
530;2017;0050;Stadtteil;Lindenhof;7;95
531;2017;0050;Stadtteil;Lindenhof;8;68
534;2017;0050;Stadtteil;Lindenhof;11;57
535;2017;0050;Stadtteil;Lindenhof;12;63
536;2017;0050;Stadtteil;Lindenhof;13;70
537;2017;0050;Stadtteil;Lindenhof;14;65
538;2017;0050;Stadtteil;Lindenhof;15;66
539;2017;0050;Stadtteil;Lindenhof;16;65
545;2017;0050;Stadtteil;Lindenhof;22;152
547;2017;0050;Stadtteil;Lindenhof;24;206
552;2017;0050;Stadtteil;Lindenhof;29;303
554;2017;0050;Stadtteil;Lindenhof;31;292
555;2017;0050;Stadtteil;Lindenhof;32;288
556;2017;0050;Stadtteil;Lindenhof;33;296
561;2017;0050;Stadtteil;Lindenhof;38;228
566;2017;0050;Stadtteil;Lindenhof;43;165
570;2017;0050;Stadtteil;Lindenhof;47;137
571;2017;0050;Stadtteil;Lindenhof;48;178
572;2017;0050;Stadtteil;Lindenhof;49;187
573;2017;0050;Stadtteil;Lindenhof;50;196
575;2017;0050;Stadtteil;Lindenhof;52;186
578;2017;0050;Stadtteil;Lindenhof;55;168
590;2017;0050;Stadtteil;Lindenhof;67;125
591;2017;0050;Stadtteil;Lindenhof;68;108
597;2017;0050;Stadtteil;Lindenhof;74;123
600;2017;0050;Stadtteil;Lindenhof;77;162
602;2017;0050;Stadtteil;Lindenhof;79;130
604;2017;0050;Stadtteil;Lindenhof;81;110
605;2017;0050;Stadtteil;Lindenhof;82;115
609;2017;0050;Stadtteil;Lindenhof;90+;246
614;2017;0060;Stadtteil;Sandhofen;4;111
615;2017;0060;Stadtteil;Sandhofen;5;108
619;2017;0060;Stadtteil;Sandhofen;9;110
621;2017;0060;Stadtteil;Sandhofen;11;86
622;2017;0060;Stadtteil;Sandhofen;12;109
624;2017;0060;Stadtteil;Sandhofen;14;101
631;2017;0060;Stadtteil;Sandhofen;21;173
635;2017;0060;Stadtteil;Sandhofen;25;183
636;2017;0060;Stadtteil;Sandhofen;26;181
640;2017;0060;Stadtteil;Sandhofen;30;187
642;2017;0060;Stadtteil;Sandhofen;32;170
644;2017;0060;Stadtteil;Sandhofen;34;180
2304;2016;0010;Stadtteil;Innenstadt/Jungbusch;41;411
2306;2016;0010;Stadtteil;Innenstadt/Jungbusch;43;399
2309;2016;0010;Stadtteil;Innenstadt/Jungbusch;46;393
2311;2016;0010;Stadtteil;Innenstadt/Jungbusch;48;374
2313;2016;0010;Stadtteil;Innenstadt/Jungbusch;50;352
2317;2016;0010;Stadtteil;Innenstadt/Jungbusch;54;332
2319;2016;0010;Stadtteil;Innenstadt/Jungbusch;56;354
2323;2016;0010;Stadtteil;Innenstadt/Jungbusch;60;281
2324;2016;0010;Stadtteil;Innenstadt/Jungbusch;61;229
2334;2016;0010;Stadtteil;Innenstadt/Jungbusch;71;168
2336;2016;0010;Stadtteil;Innenstadt/Jungbusch;73;175
2337;2016;0010;Stadtteil;Innenstadt/Jungbusch;74;165
2340;2016;0010;Stadtteil;Innenstadt/Jungbusch;77;168
2341;2016;0010;Stadtteil;Innenstadt/Jungbusch;78;154
2344;2016;0010;Stadtteil;Innenstadt/Jungbusch;81;125
2351;2016;0020;Stadtteil;Neckarstadt-West;1;222
2356;2016;0020;Stadtteil;Neckarstadt-West;6;190
2358;2016;0020;Stadtteil;Neckarstadt-West;8;210
2360;2016;0020;Stadtteil;Neckarstadt-West;10;176
2363;2016;0020;Stadtteil;Neckarstadt-West;13;158
2365;2016;0020;Stadtteil;Neckarstadt-West;15;177
2366;2016;0020;Stadtteil;Neckarstadt-West;16;201
2368;2016;0020;Stadtteil;Neckarstadt-West;18;235
2379;2016;0020;Stadtteil;Neckarstadt-West;29;515
2385;2016;0020;Stadtteil;Neckarstadt-West;35;376
2389;2016;0020;Stadtteil;Neckarstadt-West;39;319
2390;2016;0020;Stadtteil;Neckarstadt-West;40;307
2391;2016;0020;Stadtteil;Neckarstadt-West;41;319
2392;2016;0020;Stadtteil;Neckarstadt-West;42;325
2395;2016;0020;Stadtteil;Neckarstadt-West;45;298
2399;2016;0020;Stadtteil;Neckarstadt-West;49;308
2400;2016;0020;Stadtteil;Neckarstadt-West;50;286
2405;2016;0020;Stadtteil;Neckarstadt-West;55;234
2407;2016;0020;Stadtteil;Neckarstadt-West;57;223
2410;2016;0020;Stadtteil;Neckarstadt-West;60;191
2420;2016;0020;Stadtteil;Neckarstadt-West;70;144
2421;2016;0020;Stadtteil;Neckarstadt-West;71;137
2424;2016;0020;Stadtteil;Neckarstadt-West;74;112
2428;2016;0020;Stadtteil;Neckarstadt-West;78;83
2434;2016;0020;Stadtteil;Neckarstadt-West;84;43
2438;2016;0030;Stadtteil;Neckarstadt-Ost;1;305
2443;2016;0030;Stadtteil;Neckarstadt-Ost;6;273
2445;2016;0030;Stadtteil;Neckarstadt-Ost;8;269
2449;2016;0030;Stadtteil;Neckarstadt-Ost;12;260
2455;2016;0030;Stadtteil;Neckarstadt-Ost;18;315
2456;2016;0030;Stadtteil;Neckarstadt-Ost;19;381
2458;2016;0030;Stadtteil;Neckarstadt-Ost;21;518
2464;2016;0030;Stadtteil;Neckarstadt-Ost;27;613
2466;2016;0030;Stadtteil;Neckarstadt-Ost;29;583
2467;2016;0030;Stadtteil;Neckarstadt-Ost;30;582
2468;2016;0030;Stadtteil;Neckarstadt-Ost;31;586
2476;2016;0030;Stadtteil;Neckarstadt-Ost;39;427
2479;2016;0030;Stadtteil;Neckarstadt-Ost;42;416
2482;2016;0030;Stadtteil;Neckarstadt-Ost;45;451
2488;2016;0030;Stadtteil;Neckarstadt-Ost;51;421
2490;2016;0030;Stadtteil;Neckarstadt-Ost;53;452
2491;2016;0030;Stadtteil;Neckarstadt-Ost;54;472
2492;2016;0030;Stadtteil;Neckarstadt-Ost;55;397
2493;2016;0030;Stadtteil;Neckarstadt-Ost;56;411
2498;2016;0030;Stadtteil;Neckarstadt-Ost;61;375
2500;2016;0030;Stadtteil;Neckarstadt-Ost;63;329
2503;2016;0030;Stadtteil;Neckarstadt-Ost;66;353
2505;2016;0030;Stadtteil;Neckarstadt-Ost;68;333
2509;2016;0030;Stadtteil;Neckarstadt-Ost;72;236
2510;2016;0030;Stadtteil;Neckarstadt-Ost;73;240
2514;2016;0030;Stadtteil;Neckarstadt-Ost;77;242
2517;2016;0030;Stadtteil;Neckarstadt-Ost;80;205
2519;2016;0030;Stadtteil;Neckarstadt-Ost;82;191
2522;2016;0030;Stadtteil;Neckarstadt-Ost;85-89;479
2523;2016;0030;Stadtteil;Neckarstadt-Ost;90+;299
2527;2016;0041;Stadtteil;Oststadt;3;104
2529;2016;0041;Stadtteil;Oststadt;5;82
2532;2016;0041;Stadtteil;Oststadt;8;69
2535;2016;0041;Stadtteil;Oststadt;11;55
2537;2016;0041;Stadtteil;Oststadt;13;58
2543;2016;0041;Stadtteil;Oststadt;19;101
2544;2016;0041;Stadtteil;Oststadt;20;117
2545;2016;0041;Stadtteil;Oststadt;21;126
2560;2016;0041;Stadtteil;Oststadt;36;218
2564;2016;0041;Stadtteil;Oststadt;40;192
2567;2016;0041;Stadtteil;Oststadt;43;150
2568;2016;0041;Stadtteil;Oststadt;44;176
2569;2016;0041;Stadtteil;Oststadt;45;197
2570;2016;0041;Stadtteil;Oststadt;46;190
2571;2016;0041;Stadtteil;Oststadt;47;205
2572;2016;0041;Stadtteil;Oststadt;48;175
2574;2016;0041;Stadtteil;Oststadt;50;182
2575;2016;0041;Stadtteil;Oststadt;51;174
2576;2016;0041;Stadtteil;Oststadt;52;174
2577;2016;0041;Stadtteil;Oststadt;53;176
2578;2016;0041;Stadtteil;Oststadt;54;173
2591;2016;0041;Stadtteil;Oststadt;67;123
2597;2016;0041;Stadtteil;Oststadt;73;139
2601;2016;0041;Stadtteil;Oststadt;77;126
2611;2016;0042;Stadtteil;Schwetzingerstadt;0;99
2612;2016;0042;Stadtteil;Schwetzingerstadt;1;78
2615;2016;0042;Stadtteil;Schwetzingerstadt;4;62
2617;2016;0042;Stadtteil;Schwetzingerstadt;6;51
2619;2016;0042;Stadtteil;Schwetzingerstadt;8;52
2620;2016;0042;Stadtteil;Schwetzingerstadt;9;48
777;2017;0070;Stadtteil;Schönau;80;104
