Jahr;Gemeindeteilschlüssel;Gemeindeteilebene;Gemeindeteilname;Wohnberechtigte insgesamt;Wohnberechtigte weiblich;Wohnberechtigte ohne Migrationshintergrund;Wohnberechtigte Migrationshintergrund;Wohnberechtigte Ausländer;Bevölkerung am Ort der Hauptwohnung insgesamt;Bevölkerung am Ort der Hauptwohnung weiblich;Bevölkerung am Ort der Hauptwohnung ohne Migrationshintergrund;Bevölkerung am Ort der Hauptwohnung Migrationshintergrund;Bevölkerung am Ort der Hauptwohnung Ausländer;Bevölkerung am Ort der Nebenwohnung insgesamt;Bevölkerung am Ort der Nebenwohnung weiblich;Bevölkerung am Ort der Nebenwohnung ohne Migrationshintergrund;Bevölkerung am Ort der Nebenwohnung Migrationshintergrund;Bevölkerung am Ort der Nebenwohnung Ausländer
2016;0010;Stadtteil;Innenstadt/Jungbusch;33416;15390;14319;19097;13233;29851;13842;11436;18415;12949;3565;1548;2883;682;284
2016;0030;Stadtteil;Neckarstadt-Ost;34983;17545;17718;17265;9272;32809;16602;15921;16888;9150;2174;943;1797;377;122
2016;0110;Stadtteil;Friedrichsfeld;5671;2816;3985;1686;952;5406;2703;3743;1663;943;265;113;242;23;9
2016;0130;Stadtteil;Vogelstang;13179;6841;6822;6357;1980;12688;6630;6424;6264;1960;491;211;398;93;20
2016;0050;Stadtteil;Lindenhof;14386;7512;9782;4604;2058;13294;7018;8822;4472;2024;1092;494;960;132;34
2016;0070;Stadtteil;Schönau;13307;6608;7074;6233;3275;13036;6487;6874;6162;3248;271;121;200;71;27
2013;0020;Stadtteil;Neckarstadt-West;21691;10037;8085;13606;9964;20603;9542;7203;13400;9864;1088;495;882;206;100
2013;0030;Stadtteil;Neckarstadt-Ost;34163;17080;18231;15932;8691;31831;16096;16336;15495;8514;2332;984;1895;437;177
2014;0150;Stadtteil;Feudenheim;15146;7933;12235;2911;1204;14043;7455;11230;2813;1174;1103;478;1005;98;30
2014;0161;Stadtteil;Neckarau;16350;8124;10428;5922;3480;15539;7796;9744;5795;3422;811;328;684;127;58
2013;0041;Stadtteil;Oststadt;13751;6934;9717;4034;2160;12138;6236;8344;3794;2056;1613;698;1373;240;104
